ID,Nome,Artista,Letra
58100,Torero,Chayanne,"De lunes a domingo, voy desesperado
El corazón prendido allí en el calendario
Buscándote y buscando como un mercenario
Tú dime donde estás que yo no te he encontrado
Las manecillas giran, yo voy al contrario
Bebiéndome la vida a sorbos y a tragos
Me diste así de frente, qué tremendo impacto
Para unirme a tu mirada, dime
Si hay que ser torero, poner el alma en el ruedo
No importa lo que se venga pa' que sepas que te quiero
Como un buen torero (¡olé!)
Me juego la vida por ti
Si hay que ser torero, poner el alma en el ruedo
No importa lo que se venga pa' que sepas que te quiero
Como un buen torero (¡olé!)
Me juego la vida por ti
Y te cuentan que ya me vieron solitario en un callejón
Que ya no duermo y desvarío, que el humor ya me cambió
Y tú, ¿por dónde estás?, que mi presión ya no me va
Te buscaré, vuelve conmigo, y que tú no sabes
Que yo te necesito como el perro al amo
Que si tú no respondes, aquí todo es caos
Me diste así de frente, qué tremendo impacto
Para unirme a tu mirada, dime
Si hay que ser torero, poner el alma en el ruedo
No importa lo que se venga pa' que sepas que te quiero
Como un buen torero (¡olé!)
Me juego la vida por ti
Si hay que ser torero, poner el alma en el ruedo
No importa lo que se venga pa' que sepas que te quiero
Como un buen torero (¡olé!)
Me juego la vida por ti
En noviembre hasta enero, sí que te necesito
Ay, de junio a febrero, quiero que estés conmigo
Y, en marzo, el amor, en diciembre, tú y yo
No importa, mi amada
Si hay, si hay que ser torero, poner el alma en el ruedo
No importa lo que se venga pa' que sepas que te quiero
Como un buen torero (¡olé!)
Me juego la vida por ti
Si hay que ser torero (torero), poner el alma en el ruedo (torero)
No importa lo que se venga pa' que sepas que te quiero
Como un buen torero (torero)
Me juego la vida por ti
Si hay que ser torero, poner el alma en el ruedo
No importa lo que se venga pa' que sepas que te quiero
Como un buen torero (¡olé!)
Me juego la vida por ti
Si hay que ser torero, poner el alma en el ruedo
No importa lo que se venga pa' que sepas que te quiero
Como un buen torero (¡olé!)
Me juego la vida por ti
Si hay que ser torero"
5811,Fanzoca de Rádio,Carequinha,"Ela é fã da Emilinha
Não sai do Cesar de Alencar
Grita o nome do Cauby
E depois de desmaiar
Pega a revista do rádio
E começa a se abanar
É uma faixa aqui, outra faixa ali
O dia inteirinho ela não faz nada
Enquanto isso na minha casa
Ninguém arranja uma empregada
Pega a revista do rádio
E começa a soletrar
É uma letra aqui, outra letra ali
O dia inteirinho ela não faz nada
Enquanto isso na minha casa
Ninguém arranja uma empregada"
5812,Cachito Mio,Nat King Cole,"Cachito, cachito, cachito mío
Pedazo de cielo que Dios me dio
Te miro y te miro y al fin bendigo
Bendigo la suerte de ser tu amor
Me preguntan que porque eres mi cachito
Y yo siento muy bonito al responder
Que porque eres de mi vida un pedacito
Al que yo quiero como a nadie he de querer
Cachito, cachito, cachito mío
Pedazo de cielo que Dios me dio
Te miro y te miro y al fin bendigo
Bendigo la suerte de ser tu amor
A tu lado yo no se lo que es tristeza
Y las horas se me pasan sin sentir
Tú me miras y yo pierdo la cabeza
Y lo único que puedo repetir
Cachito, cachito, cachito mío
Pedazo de cielo que Dios me dio
Te miro y te miro y al fin bendigo
Bendigo la suerte de ser tu amor
Cachito (cachito)
Cachito mío (cachito)
Tú eres mi amorcito
De mama y de papa
Cachito (cachito)
Cachito mío (cachito)
Tú eres el amorcito
De mamá y de papá
Cachito, cachito, cachito mío
Pedazo de cielo que Dios me dio
Te miro y te miro y al fin bendigo
Bendigo la suerte de ser tu amor"
5813,Louve (Praise),Lu Alone,"(Tudo o que tem)
(Fôlego)
(Louve ao Senhor)
(Louve ao Senhor)
(Tudo o que tem)
(Fôlego)
(Louve ao Senhor)
(Louve ao Senhor)
Eu louvo nos vales, louvo nos montes
Louvo no dia e louvo na noite
Eu louvo se vejo que estou cercado
Pois meus inimigos serão derrotados
Enquanto eu viver
Minh'alma irá cantar
Louve ao Senhor, todo o meu ser
Louve ao Senhor, todo o meu ser
Eu louvo se vejo e louvo se não
Eu louvo pois sei que estou em Tuas mãos
Guerreio louvando em adoração
Com o meu louvor, muralhas cairão
Enquanto eu viver
Minh'alma irá cantar
Louve ao Senhor, todo o meu ser
Louve ao Senhor, todo o meu ser
Não vou me calar
Meu Deus vivo está
Como não Te adorar?
Louve ao Senhor, todo o meu ser
(Tudo o que tem)
(Fôlego)
(Louve ao Senhor)
(Louve ao Senhor)
(Tudo o que tem)
(Fôlego)
(Louve ao Senhor)
(Louve ao Senhor)
Louvo ao Rei, louvo ao Senhor
Louvo o Cristo que ressuscitou
Louvo Aquele que é Justo e Fiel
O Deus Soberano na Terra e no Céu
Louvo ao Rei, louvo ao Senhor
Louvo o Cristo que ressuscitou
Louvo Aquele que é Justo e Fiel
O Deus Soberano na Terra e no Céu
Louve ao Senhor, todo o meu ser
Louve ao Senhor, todo o meu ser
Louve ao Senhor, todo o meu ser
Louve ao Senhor, todo o meu ser
Não vou me calar
Meu Deus vivo está
Como não Te adorar?
Não vou me calar
Meu Deus vivo está
Como não Te adorar?
Não vou me calar
Meu Deus vivo está
Como não Te adorar?
Louve ao Senhor todo o meu ser
(Tudo o que tem)
(Fôlego)
(Louve ao Senhor)
(Louve ao Senhor)
(Tudo o que tem)
(Fôlego)
(Louve ao Senhor)
(Louve ao Senhor)
(Tudo o que tem)
(Fôlego)
(Louve ao Senhor)
(Louve ao Senhor)
(Tudo o que tem)
(Fôlego)
(Louve ao Senhor)
(Louve ao Senhor)"
5814,O Gondoleiro do Amor,Tonico e Tinoco,"Teus olhos são negros, negros,
Como as noites sem luar...
São ardentes, são profundos,
Como o negrume do mar;
Sobre o barco dos amores,
Da vida boiando à flor,
Douram teus olhos a fronte
Do Gondoleiro do amor.
Tua voz é a cavatina
Dos palácios de Sorrento,
Quando a praia beija a vaga,
Quando a vaga beija o vento;
E como em noites de Itália,
Ama um canto o pecador,
Bebe a harmonia em teus cantos
O Gondoleiro do amor.
Teu sorriso é uma aurora,
Que o horizonte enrubesceu,
- Rosa aberta com biquinho
Das aves rubras do céu.
Nas tempestades da vida
Das rajadas no furor,
Foi-se a noite, tem auroras
O Gondoleiro do amor.
Teu seio é vaga dourada
Ao tíbio clarão da lua,
Que, ao murmúrio das volúpias,
Arqueja, palpita nua;
Como é doce, em pensamento,
Do teu colo no langor
Vogar, naufragar, perder-se
O Gondoleiro do amor!? ...
Teu amor na treva é - um astro,
No silêncio uma canção,
É brisa - nas calmarias,
É abrigo - no tufão;
Por isso eu te amo, querida,
Quer no prazer, quer na dor,...
Rosa! Canto! Sombra! Estrela!
Do Gondoleiro do amor."
5815,Covarde,Ana Laura Lopes,"É, eu vejo o medo nos seus olhos
Para de gaguejar
Tá afim de chorar
Desculpa se eu não caio
Para e pensa, meu bem
Cê acha mesmo que alguém como eu
Vai ser tão fácil assim
De enganar
Faz o seu show
Diz que me ama
Mas que se cansou
De todo o meu drama
Covarde
O que faltou em você foi coragem
Não quer terminar
Mas quer que eu aguarde
Você se afastar
Até eu mesma me cansar
Covarde
O que faltou em você foi coragem
Não quer terminar
Mas quer que eu aguarde
Você se afastar
Até eu mesma me cansar
Para e pensa, meu bem
Cê acha mesmo que alguém como eu
Vai ser tão fácil assim
De enganar
Faz o seu show
Diz que me ama
Mas que se cansou
De todo o meu drama
Se você não consegue me falar
O que cê quer com esse seu olhar
Deixa o trabalho sujo só pra mim
Tô terminando, esse é o nosso fim
(Porque cê foi)
Covarde
O que faltou em você foi coragem
Não quer terminar
Mas quer que eu aguarde
Você se afastar
Até eu mesma me cansar
Covarde
O que faltou em você foi coragem
Não quer terminar
Mas quer que eu aguarde
Você se afastar
Até eu mesma me cansar"
5816,Dirty Diana,Michael Jackson,"You'll never make me stay
So take your weight off of me
I know your every move
So won't you just let me be?
I've been here times before
But I was too blind to see
That you seduce every man
This time, you won't seduce me
She's saying: That's okay
Hey, baby, do what you please
I have the stuff that you want
I am the thing that you need
She looked me deep in the eyes
She's touching me so to start
She says: There's no turning back
She trapped me in her heart
Dirty Diana, no
Dirty Diana, no
Dirty Diana, no
Dirty Diana
Let me be
Oh, no
Oh, no
Oh, no
She likes the boys in the band
She knows when they come to town
Every musician's fan
After the curtain comes down
She waits at backstage doors
For those who have prestige
Who promise fortune and fame
A life that's so carefree
She's saying: That's okay
Hey, baby, do what you want
I'll be your night-loving thing
I'll be the freak you can taunt
And I don't care what you say
I want to go too far
I'll be your everything
If you make me a star
Dirty Diana, no
Dirty Diana, no
Dirty Diana, no
Dirty Diana
Dirty Diana, no
Dirty Diana, no
Dirty Diana, no
Dirty Diana
Diana
Diana
Dirty Diana
It's Diana-iana-iana
Come on
She said: I have to go home
'Cause I'm real tired, you see
But I hate sleeping alone
Why don't you come with me?
I said: My baby's at home
She's probably worried tonight
I didn't call on the phone
To say that I'm alright
Diana walked up to me
She said: I'm all yours tonight
At that, I ran to the phone
Saying: Baby, I'm alright
I said: But unlock the door
'Cause I forgot the key
She said: He's not coming back
Because he's sleeping with me
Dirty Diana, no
Dirty Diana, no
Dirty Diana, no
Dirty Diana, no
Dirty Diana, no
Dirty Diana, no
Dirty Diana, no
Dirty Diana
Come on
Come on
Come on
Come on
Come on (ah, don't you touch me)
Come on (ah, don't you touch me)
Come on (ah, don't you touch me)
Come on (ah, don't you touch me)
Come on
Come on
Come on
Come on
Come on"
5817,Se Todos Fossem Iguais A Você,Tom Jobim,"Vai tua vida
Teu caminho é de paz e amor
A tua vida
É uma linda canção de amor
Abre os teus braços e canta
A última esperança
A esperança divina
De amar em paz
Se todos fossem
Iguais a você
Que maravilha viver
Uma canção pelo ar
Uma mulher a cantar
Uma cidade a cantar, a sorrir, a cantar, a pedir
A beleza de amar
Como o sol, como a flor, como a luz
Amar sem mentir, nem sofrer
Existiria a verdade
Verdade que ninguém vê
Se todos fossem no mundo iguais a você"
5818,Castigo,Dolores Duran,"A gente briga, diz tanta coisa que não quer dizer
Briga pensando que não vai sofrer
Que não faz mal se tudo terminar
Um belo dia a gente entende que ficou sozinha
Vem a vontade de chorar baixinho
Vem o desejo triste de voltar
Você se lembra, foi isso mesmo que se deu comigo
Eu tive orgulho e tenho por castigo
A vida inteira pra me arrepender
Se eu soubesse
Naquele dia o que sei agora
Eu não seria esse ser que chora
Eu não teria perdido você
Se eu soubesse
Naquele dia o que sei agora
Eu não seria essa mulher que chora
Eu não teria perdido você"
5819,Moda da Pinga (Marvada Pinga),Bruna Viola,"Com a marvada pinga
É que eu me atrapaio
Eu entro na venda e já dou meu taio
Eu pego no copo e dali não saio
Ali memo eu bebo
Ali memo eu caio
Só pra carregar é que eu dô trabaio
Oi lá
O marido me disse, ele me falo
Largue de bebê, peço por favô
Prosa de homem nunca dei valô
Bebo com o sor quente pra esfriar o calô
E bebo de noite é prá fazê suadô
Oi lá
Cada vez que eu caio, caio deferente
Meaço pá trás e caio pá frente
Caio devagar, caio de repente
Vô de corrupio, vô deretamente
Mas sendo de pinga, eu caio contente
Oi lá
Pego o garrafão e já balanceio
Que é pá mor de vê se tá mesmo cheio
Não bebo de vez porque acho feio
No primeiro gorpe chego inté no meio
No segundo trago é que eu desvazeio
Oi lá
Eu bebo da pinga porque gosto dela
Eu bebo da branca, bebo da amarela
Eu bebo nos copo, bebo na tijela
E bebo temperada com cravo e canela
Seja quarqué tempo, vai pinga na guela
Oi lá
Eu bebi demais e fiquei mamada
Eu cai no chão e fiquei deitada
Ai eu fui prá casa de braço dado
Ai de braço dado com dois sordado
Muito obrigado"
