ID,Nome,Artista,Letra
1009,As Máscaras,Claudia Leitte,"Don't mask
Don't mask
Just dance
As máscaras vão cair
E tudo que você vestiu agora você vai despir
Dubidubidabidu
Hahahahahahaha
Tire o fone do ouvido
Sinta o som que vem do chão
Sacudindo os sentidos
Vem comigo
Atenção
Deixa a onda te levar
Na pista, na rua, no ar
Deixa a música dizer
Como você vai dançar
Levanta, sacode, balança
Não pode parar
Se lança, se joga na dança
Se deixa levar
Levanta, sacode, balança
Não pode parar
Se lança, se joga na dança
Se deixa levar
Tire o fone do ouvido
Sinta o som que vem do chão
Sacudindo os sentidos
Vem comigo
Atenção
Deixa a onda te levar
Na pista, na rua, no ar
Deixa a música dizer
Como você vai dançar
Levanta, sacode, balança
Não pode parar
Se lança, se joga na dança
Se deixa levar
Levanta, sacode, balança
Não pode parar
Se lança, se joga na dança
Se deixa levar
Liberte sua mente do que a mentira contou
Vista-se com o novo
Dispa-se da máscara
Venha quem quiser e seja como for
Levanta, sacode, balança
Não pode parar
Se lança, se joga na dança
Se deixa levar
Levanta, sacode, balança
Não pode parar
Se lança, se joga na dança
Se deixa levar
Se deixa levar"
1018,Hard (feat. Jeezy),Rihanna,"Yeah, yeah, yeah (yeah, yeah, yeah, yeah, yeah, yeah)
Yeah, yeah, yeah (ah yeah, yeah, yeah yeah, yeah, yeah)
Ah yeah yeah yeah (ah yeah yeah yeah, haha)
Ah yeah (ah yeah) ah yeah (ah yeah, ah yeah)
Ah yeah (ah yeah) yeah (yeah)
Ah yeah (ah yeah) ah yeah (ah yeah)
Ah yeah (ah yeah) yeah (yeah)
They can say whatever, I'ma do whatever
No pain is forever, yup! You know this
Tougher than a lion, ain't gon' needa try it
I live where the sky ends, yup! You know this
Never lying, truth-teller
That Rihanna reign just won't let up
All-black on, blacked-out shades
Blacked-out maybach
I'ma rock this shit like fashion
As in, going till they say stop
And my runway never looked so clear
But the hottest bitch in heels right here
No fear, and while you're getting your cry on
I'm getting my fly on
Sincere, I see you aiming at my pedestal
I better let you know
That I, I, I, I'm so hard (so hard)
Yeah, yeah, yeah, I'm so hard (too hard)
That I, I, I, I'm so hard (so hard)
Yeah, yeah, yeah, I'm so hard (too hard)
That I, I, I, I'm so hard (so hard)
Yeah, yeah, yeah, I'm so hard (too hard)
So hard (yeah!) so hard (yeah!)
So hard (yeah!) so hard (yeah!)
Brrah, ah (yeah, yeah, yeah)
That Rihanna reign just don't let up
Brrah, ah, ah (yeah, yeah, yeah)
That Rihanna reign just don't let up
Brrah, ah (yeah, yeah, yeah)
That Rihanna reign just don't let up
So hard (yeah!) so hard (yeah!)
So hard (yeah!) so hard (yeah!)
All up on it, know you wanna clone it
Ain't like me, that chick too phony (Young!)
Ride this beat, beat, beat like a pony
Meet me at the top, top, top getting lonely (Young!)
Who think they test me now?
Run through your town, I shut it down
Brilliant, resilient
Fan mail from twenty-seven million (Young!)
And I want it all
It's gonna take more than that, hope that ain't all you got
I need it all (hold up!)
The money, the fame, the cars, the clothes
I can't just let you run up on me like that
All on me like that, yeah
I see you aiming at my pedestal
So I think I gotta let you know
That I, I, I, I'm so hard (so hard)
Yeah, yeah, yeah, I'm so hard (too hard)
That I, I, I, I'm so hard (so hard)
Yeah, yeah, yeah, I'm so hard (too hard)
That I, I, I, I'm so hard (so hard)
Yeah, yeah, yeah, I'm so hard (too hard)
So hard (yeah!) so hard (yeah!)
So hard (yeah!) so hard (yeah!)
It's go hard or go home, back to your residence
Soon the Red Dogs give the block back to the presidents
I used to run my whole block like Obama them
You ain't gotta believe me, go ask my momma them
Couldn't even come in my room, smelled like a kilo
Look like me and two of my boys playing casino
Count the style I keep in my bag, they can't afford it
Tell 'em: Give me back my swag, they tryna clone it
See my Louis chucks, Louis flag, Louis frames
Louis belt, what that make me, Louis Mane?
I'm in the all-white party wearing all black
With my new black watch, call it the heart attack
Cardiac arrest, Carti'ac a wrist
Yeah, they say they hard, they ain't hard as this
Hard: the one word describes me
If I wasn't doing this, you know where I'd be to 'em
Where them girls talking trash? Where them girls talking trash?
Where they at? Where they at? Where they at?
Where them bloggers at? Where them bloggers at?
Where they at? Where they at? Where they at?
Where your lighters at? Where your lighters at?
Where they at? Where they at? Where they at?
So hard (yeah!) so hard (yeah!)
So hard (yeah!) so hard (yeah!)
That I, I, I, I'm so hard (yeah!)
Yeah, yeah, yeah, I'm so hard (yeah!)
That I, I, I, I'm so hard (so hard)
Yeah, yeah, yeah, I'm so hard (too hard)
So hard, so hard (so hard)
So hard, so hard (too hard)
That I, I, I"
102,Thank You,Dido,"My tea's gone cold, I'm wondering why
I got out of bed at all
The morning rain clouds up my window
And I can't see at all
And even if I could, it'd all be gray
But your picture on my wall
It reminds me that it's not so bad
It's not so bad
I drank too much last night, got bills to pay
My head just feels in pain
I missed the bus, and there'll be hell today
I'm late for work again
And even if I'm there, they'll all imply
That I might not last the day
And then you call me, and it's not so bad
It's not so bad
And I want to thank you
For giving me the best day of my life
Oh, just to be with you
Is having the best day of my life
Push the door, I'm home at last
And I'm soaking through and through
Then you handed me a towel
And all I see is you
And even if my house falls down now
I wouldn't have a clue
Because you're near me
And I want to thank you
For giving me the best day of my life
Oh, just to be with you
Is having the best day of my life
And I want to thank you
For giving me the best day of my life
Oh, just to be with you
Is having the best day of my life"
1021,Como Eu Queria Te Amar,Edson,"Mais uma vez vim procurar
Abrigo nos seus braços
Pois sabia que ia encontrar
No seu olhar
Um colo um carinho uma palavra pra me confortar
E outra vez me vem você
Pedindo uma chance pra tentar fazer eu esquecer
O que me faz sofrer
Falando que faria qualquer coisa pra me ver te amar
Como eu queria te amar
Mandar no meu coração
Mas ele insiste em querer
Outra pessoa pra viver
Como eu queria te amar
É tão difícil entender
Seria tudo tão perfeito com você
E outra vez me vem você
Pedindo uma chance pra tentar fazer eu esquecer
O que me faz sofrer
Falando que faria qualquer coisa pra me ver te amar
Como eu queria te amar
Mandar no meu coração
Mas ele insiste em querer
Outra pessoa pra viver
Como eu queria te amar
É tão difícil entender
Seria tudo tão perfeito com você
Como eu queria te amar
Mandar no meu coração
Mas ele insiste em querer
Outra pessoa pra viver
Como eu queria te amar
É tão difícil entender
Seria tudo tão perfeito com você
Como eu queria te amar
Mandar no meu coração
Mas ele insiste em querer
Outra pessoa pra viver
Como eu queria te amar
É tão difícil entender
Seria tudo tão perfeito com você
Com você"
1023,Não Mais,Victor e Leo,"Hei
Foi tudo tão de repente
Simplesmente não mais
Ficaria sem você
Sem você, não mais
Hei
Tem coisas que a gente
Faz e diz tanto faz
Só diria pra você
Sem você, não mais
Sem você
Eu era sozinho sem saber
Sem você
Nada inesquecível pra viver
Sem você, não mais
Não mais
Hei
Tem coisas que a gente
Faz e diz tanto faz
Só diria pra você
Sem você, não mais
Sem você
Eu era sozinho sem saber
Sem você
Nada inesquecível pra viver
Sem você, não mais
Não mais"
1037,Sinônimos,Zé Ramalho,"Quanto tempo o coração leva pra saber
Que o sinônimo de amar é sofrer
Num aroma de amores pode haver espinhos
É como ter mulheres em milhões e ser sozinho
Na solidão de casa, descansar
O sentido da vida, encontrar
Ninguém pode dizer onde a felicidade está
O amor é feito de paixões
E quando perde a razão
Não sabe quem vai machucar
Quem ama nunca sente medo
De contar os seus segredos
Sinônimo de amor é amar
Quem revelará o mistério que tem a fé
E quantos segredos traz o coração de uma mulher
Como é triste a tristeza mendigando um sorriso
Um cego procurando a luz na imensidão do paraíso
Quem tem amor na vida, tem sorte
Quem na fraqueza sabe ser bem mais forte
Ninguém sabe dizer onde a felicidade está
O amor é feito de paixões
E quando perde a razão
Não sabe quem vai machucar
Quem ama nunca sente medo
De contar os seus segredos
Sinônimo de amor é amar
O amor é feito de paixões
E quando perde a razão
Não sabe quem vai machucar
Quem ama nunca sente medo
De contar os seus segredos
Sinônimo de amor é amar
Quem revelará o mistério que tem a fé
E quantos segredos traz o coração de uma mulher
Como é triste a tristeza mendigando um sorriso
Um cego procurando a luz na imensidão do paraíso
O amor é feito de paixões
E quando perde a razão
Não sabe quem vai machucar
Quem ama nunca sente medo
De contar os seus segredos
Sinônino de amor é amar
O amor é feito de paixões
E quando perde a razão
Não sabe quem vai machucar
Quem ama nunca sente medo
De contar os seus segredos
Sinônino de amor é amar
Sinônino de amor é amar
Sinônino de amor é amar"
1038,Down,Jason Walker,"I don't know where I'm at
I'm standing at the back
And I'm tired of waiting
I'm waiting here in line
I'm hoping that I'll find
What I've been chasing
I shot for the sky
I'm stuck on the ground
So why do I try?
I know I'm gonna fall down
I thought I could fly
So why did I drown?
I'll never know why
It's coming down, down, down
I'm not ready to let go
Cause then I'd never know
What I could be missing
But I'm missing way too much
So when do I give up
What I've been wishing for?
I shot for the sky
I'm stuck on the ground
So why do I try?
I know I'm gonna fall down
I thought I could fly
So why did I drown?
I'll never know why
It’s coming down, down, down
Oh, I am going down, down, down
I can't find another way around
And I don't wanna hear the sound
Of losing what I never found
I shot for the sky
I'm stuck on the ground
So why do I try?
I know I'm gonna fall down
I thought I could fly
So why did I drown?
I'll never know why
It’s coming down, down, down
I shot for the sky
I'm stuck on the ground
So why do I try?
I know I'm gonna fall down
I thought I could fly
So why did I drown?
Oh, it’s coming down, down, down"
1045,Pra Você Lembrar,Restart,"Mesmo de longe eu queria te fazer
Sentir tudo o que eu sinto por você
Às vezes queria poder te ter
Às vezes me sinto invisível pra você
E eu vou voar pra algum lugar
Com você, com você
Pra te encontrar, te dizer
Te ter aqui faz parte do meu jogo
Me faz feliz poder te ver de novo
Vou te mostrar que falta muito pouco
Pra eu olhar no teu olho e dizer
Amo você
Todo o meu mundo gira em torno de
Achar maneiras para te fazer sorrir
Nem a distância e o medo de perder
Nada vai me fazer te esquecer
Eu vou voar, pra algum lugar
Com você, com você
Pra te encontrar, te dizer
Te ter aqui faz parte do meu jogo
Me faz feliz poder te ver de novo
Vou te mostrar que falta muito pouco
Pra eu olhar no teu olho e dizer
Amo você
E se o mundo um dia te virar as costas
Lembra que eu sou feliz só por você existir
Só por estar aqui
E se algum dia me ver longe demais
Pensa em tudo que eu sou capaz
Pra te ver sorrir, te ver sorrir
Te ter aqui faz parte do meu jogo
Me faz feliz poder te ver de novo
Vou te mostrar que falta muito pouco
Pra eu olhar no teu olho e dizer
Te ter aqui faz parte do meu jogo
Me faz feliz poder te ver de novo
Vou te mostrar que falta muito pouco
Pra eu olhar no teu olho e dizer
Amo você
Amo você
Amo você"
105,It Wasn't Me (feat. RikRok),Shaggy,"Yo, man
Yo
Open up, man
Yo, what you want, man?
My girl just caught me
You made her catch you?
I don't know how I let this happen
With who?
The girl next door, you know?
Man
I don't know what to do
Say it wasn't you
Alright
Honey came in and she caught me red-handed
Creepin' with the girl next door
Picture this: We were both butt naked
Lovin' on the bathroom floor
How could I forget that I had
Given her an extra key?
All this time she was standin' there
She never took her eyes off me
How ya fi give the woman access to your villa?
Trespasser and a witness, all the hacklin' a yuh pillow
Ya better watch your back before she turn into a killa
Best review the situation that you caught up inna
To be a true player, you haffi know how fi play
If she say: A night, convince her say: A day
Never admit to a word weh she say
And if she claim a yuh, tell her: Baby, no way
But she caught me on the counter (wasn't me)
Saw me bangin' on the sofa (wasn't me)
I even had her in the shower (wasn't me)
She even caught me on camera (wasn't me)
She saw the marks on my shoulder (wasn't me)
Heard the words that I told her (wasn't me)
Heard the screams gettin' louder (wasn't me)
She stayed until it was over
Honey came in and she caught me red-handed
Creepin' with the girl next door
Picture this: We were both butt naked
Lovin' on the bathroom floor
I had tried to keep her from what
She was about to see
Why should she believe me
When I told her it wasn't me?
Mek she know say that she really no have right fi vex
A never you she see yah make the gigolo flex
A smaddy else weh favor you inna di complex
Seein' is believin', so you better change your specs
You know she a go bring a whole heap a things up from the past
All the likkle evidence, you betta know fi mask
Quick 'pon yuh answer, know how fi talk
But if she pack a gun, you know you betta run fast
But she caught me on the counter (wasn't me)
Saw me bangin' on the sofa (wasn't me)
I even had her in the shower (wasn't me)
She even caught me on camera (wasn't me)
She saw the marks on my shoulder (wasn't me)
Heard the words that I told her (wasn't me)
Heard the screams gettin' louder (wasn't me)
She stayed until it was over
Honey came in and she caught me red-handed
Creepin' with the girl next door
Picture this: We were both butt naked
Lovin' on the bathroom floor
How could I forget that I had
Given her an extra key?
All this time she was standin' there
She never took her eyes off me
Gonna tell her that I'm sorry for the pain that I've caused
I've been listenin' to your reasonin', it makes no sense at all
Need to tell her that I'm sorry for the pain that I've caused
You may think that you're a player, but you're completely lost
That's why I sing
Honey came in and she caught me red-handed
Creepin' with the girl next door
Picture this: We were both butt naked
Lovin' on the bathroom floor
How could I forget that I had
Given her an extra key?
All this time she was standin' there
She never took her eyes off me"
1056,Tão Linda,Whindersson Nunes,"Esse teu jeito me domina
Esse sorriso me alucina
Esse teu jeito de menina
Que me faz arrepiar
As madrugadas são demais
O que cê diz me satisfaz
Você lá longe me fascina
Mesmo sem ter celular aaah
E eu vou me envolvendo
Eu vou dependendo
Coração tá doendo
Então deixa de besteira
E deixa eu te amar
Eu só quero saber
Como é que tá teu coração
Se ele tiver bem, eu fico zen
Mas se ele não tiver bem, fico no chão
O que me faz bem é você
Então não fique chateada
Quando eu pedir pra ficar mais um pouco
Aqui no chat comigo de madrugada
Tudo isso porque eu quero te ver bem
O teu sorriso é o que me faz feliz
Eu sei que eu não sou essas coisas
Mas eu posso ser o cara que cê sempre quis
Eu sei que eu sou só um rapaz
Que usa um boné pra trás, sem qualidade ainda
Fiz essa letra pra te alegrar
Eu quero ver feliz, não quero ver chorar
Essa menina que eu acho linda, tão linda!
Esse teu jeito sereno
Esse teu corpo moreno
Esse teu olho pequeno
Que eu não consigo parar de olhar
Linda, tão linda!
Tô te querendo demais
E eu não vou dar pra trás
Vaga-lume é o carai
Eu vou atrás até de onça pra poder te dar
E eu só quero saber
Como é que tá teu coração
Se ele tiver bem eu fico zen
Mas se ele não tiver bem, fico no chão
O que me faz bem é você
Então não fique chateada
Quando eu pedir pra ficar mais um pouco
Aqui no chat comigo de madrugada
Tudo isso por que eu quero te ver bem
O teu sorriso é o que me faz feliz
Eu sei que não sou essas coisas
Mas eu posso ser o cara que cê sempre quis
Eu sei que eu sou só um rapaz
Que usa um boné pra trás, sem qualidade ainda
Fiz essa letra pra te alegrar
Eu quero ver feliz, não quero ver chorar
Essa menina que eu acho linda, tão linda!
Esse teu jeito sereno
Esse teu corpo moreno
Esse teu olho pequeno
Que me faz não querer mais parar de olhar
Linda, tão linda!
Tô te querendo demais
E eu não vou dar pra trás
Vaga-lume é o carai
Eu vou atrás até de onça pra poder te dar!"
